car_id,manufacturer,model,description,transmission,transmission_type,engine_size_cm3,fuel,powertrain,power_ps,co2_emissions_gPERkm
1.0,ABARTH,595,1.4 TJET 145bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,161.0
2.0,ABARTH,595,1.4 TJET 145bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,153.0
3.0,ABARTH,595,595 1.4 145 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,169.0
4.0,ABARTH,595,595 1.4 145 BHP,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,162.0
5.0,ABARTH,595,595 1.4 145 BHP Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,169.0
6.0,ABARTH,595,595 1.4 145 BHP Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,162.0
7.0,ABARTH,595,595 1.4 TJET 145 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,169.0
8.0,ABARTH,595,595 1.4 TJET 145 BHP,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),145.0,162.0
9.0,ABARTH,595,595 Competizione 180 BHP Hatchback,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
10.0,ABARTH,595,595 Competizione 180 BHP Hatchback,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,172.0
11.0,ABARTH,595,595 Competizione 1.4 TJET 180 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
12.0,ABARTH,595,595 Competizione 1.4 TJET 180 BHP ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,172.0
13.0,ABARTH,595,595 Competizione 1.4 TJET 180 BHP Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
14.0,ABARTH,595,595 Comperizione 1.4 TJET 180 BHP Convertible ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,172.0
15.0,ABARTH,595,595 Esseesse 1.4 TJET 180 BHP,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
16.0,ABARTH,595,595 Esseesse 1.4 TJET 180 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
17.0,ABARTH,595,595 Pista 1.4 TJET 165 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
18.0,ABARTH,595,595 Pista 1.4 TJET 165 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
19.0,ABARTH,595,595 Pista 1.4 TJET 165 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
20.0,ABARTH,595,595 Pista 1.4 TJET 165 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
21.0,ABARTH,595,595 SCORPIONEORO 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
22.0,ABARTH,595,595 SCORPIONEORO 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
23.0,ABARTH,595,595 Turismo 165 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
24.0,ABARTH,595,595 Turismo 165 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
25.0,ABARTH,595,595 Turismo 165 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
26.0,ABARTH,595,595 Turismo 165 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
27.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
28.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
29.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,177.0
30.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,162.0
31.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
32.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
33.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,177.0
34.0,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,162.0
35.0,ABARTH,595,595 YAMAHA MONSTER  ENERGY 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
36.0,ABARTH,595,595 YAMAHA MONSTER  ENERGY 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
37.0,ABARTH,595,695 Rivale 1.4 TJET 180 BHP ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
38.0,ABARTH,595,695 Rivale 1.4 TJET 180 BHP ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,172.0
39.0,ABARTH,595,695 Rivale 1.4 TJET 180 BHP Convertible ,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,171.0
40.0,ABARTH,595,695 Rivale 1.4 TJET 180 BHP Convertible ,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,172.0
41.0,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,156.0
42.0,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,165.0
43.0,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,160.0
44.0,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,156.0
45.0,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp Convertible,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,165.0
46.0,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp Convertible,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,160.0
47.0,ABARTH,595,ESSEESSE 1.4 TJET 180bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,156.0
48.0,ABARTH,595,ESSEESSE 1.4 TJET 180bhp Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),180.0,156.0
49.0,ABARTH,595,SCORPIONEORO 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
50.0,ABARTH,595,SCORPIONEORO 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
51.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,150.0
52.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,159.0
53.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,153.0
54.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,160.0
55.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,159.0
56.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp Convertible,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,150.0
57.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp Convertible,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,153.0
58.0,ABARTH,595,TURISMO 1.4 TJET 165 bhp Convertible,SAT5,Automatic,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,160.0
59.0,ABARTH,595,YAMAHA MONSTER ENERGY 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,165.0
60.0,ABARTH,595,YAMAHA MONSTER ENERGY 1.4 TJET 165bhp,M5,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),165.0,171.0
61.0,ALFA ROMEO,Giulietta,1.4 TB 120hp Sport,M6,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),120.0,170.0
62.0,ALFA ROMEO,Giulietta,1.4 TB 120hp Sport,M6,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),120.0,190.0
63.0,ALFA ROMEO,Giulietta,1.4 TB 120hp Sprint (88kw),M6,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),120.0,177.0
64.0,ALFA ROMEO,Giulietta,1.4 TB 120hp Sprint (88kw),M6,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),120.0,164.0
65.0,ALFA ROMEO,Giulietta,1.4 TB 120HP SPECIALE,M6,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),120.0,164.0
66.0,ALFA ROMEO,Giulietta,1.4 TB 120HP SPECIALE,M6,Manual,1368.0,Petrol,Internal Combustion Engine (ICE),120.0,177.0
67.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp Sport,M6,Manual,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,144.0
68.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp Sport,M6,Manual,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,155.0
69.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp Super,M6,Manual,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,140.0
70.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp Super,M6,Manual,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,151.0
71.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp ALFA TCT Super,A6,Automatic,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,141.0
72.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp ALFA TCT Super,A6,Automatic,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,153.0
73.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120HP SPECIALE,M6,Manual,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,144.0
74.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120HP SPECIALE,M6,Manual,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,155.0
75.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp ALFA TCT Sprint (88KW),A6,Automatic,1598.0,Diesel,Internal Combustion Engine (ICE),120.0,141.0
76.0,ALFA ROMEO,Giulietta,1.6 JTDM-2 120hp ALFA TCT Sprint (88kw),SA6,Automatic,1956.0,Diesel,Internal Combustion Engine (ICE),120.0,153.0
77.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 200HP LUSSO Ti,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),200.0,184.0
78.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 200HP SPRINT,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),200.0,171.0
79.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 200HP SPRINT,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),200.0,184.0
80.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 200HP NERO EDIZIONE,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),200.0,171.0
81.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 200HP NERO EDIZIONE,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),200.0,193.0
82.0,ALFA ROMEO,Giulia,2.0 Turbo Petrol 200hp SUPER (148KW),A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),200.0,184.0
83.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 280HP VELOCE,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),280.0,195.0
84.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 280HP VELOCE,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),280.0,180.0
85.0,ALFA ROMEO,Giulia,2.0 TURBO PETROL 280HP VELOCE,A8,Automatic,1995.0,Petrol,Internal Combustion Engine (ICE),280.0,195.0
